RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-03,BAJAJ-AUTO,EQ,4201.45,4205,4259.15,4160.1,4236,4236.35,4226.67,681937,288231959180000,54003,126182,0.185,AUTOMOBILE
2021-02-03,ASIANPAINT,EQ,2463.65,2503.85,2503.85,2438.35,2454,2453.65,2464.64,2409356,593819551730000,102463,999862,0.415,CONSUMER GOODS
2021-02-03,ADANIPORTS,EQ,550.8,549.55,562.3,542,560,560.1,555.66,7462289,414651332530000,73872,2114489,0.2834,SERVICES
2021-02-03,GAIL,EQ,129.7,130,132.45,129.3,130.5,130.45,130.88,18339188,240026208590000,65908,7063468,0.3852,OIL & GAS
2021-02-03,DRREDDY,EQ,4482.5,4578.95,4761.6,4542.45,4661,4649.55,4670.92,3445405,1609322076970000,236361,923734,0.2681,PHARMA
2021-02-03,EICHERMOT,EQ,2904.85,2904.85,2948,2871.5,2919,2916.9,2918.26,1349528,393827052790000,50470,139144,0.1031,AUTOMOBILE
2021-02-03,GRASIM,EQ,1190,1178.1,1205.5,1172.25,1180.1,1190.85,1191.92,2427085,289289926620000,64409,652566,0.26890000000000003,CEMENT & CEMENT PRODUCTS
2021-02-03,HCLTECH,EQ,954.65,966,973.3,952.55,961.95,959.9,964.84,6354619,613116275805000,142811,2857279,0.4496,IT
2021-02-03,VEDL,EQ,173.25,173.25,176.9,172.8,174,173.9,175.16,9859693,172705268280000,43826,3160650,0.32060000000000005,METALS
2021-02-03,WIPRO,EQ,428.35,430.2,439.95,430.2,435,433.5,436.37,9897666,431903302140000,103571,2275292,0.2299,IT
2021-02-03,TECHM,EQ,957.2,965,1000,960.1,983.9,981.45,984.43,5640121,555231523515000,123433,1943481,0.3446,IT
2021-02-03,UPL,EQ,566.3,562.1,579.95,555,557.75,558.25,568.6,7268499,413284143525000,91011,1638095,0.2254,FERTILISERS & PESTICIDES
2021-02-03,ZEEL,EQ,242.9,245,251.75,238.55,242.8,244.2,246.39,25334325,624202130875000,156100,4108833,0.16219999999999998,MEDIA ENTERTAINMENT & PUBLICATION
2021-02-03,HINDUNILVR,EQ,2230.45,2231.5,2257,2217.6,2233.8,2232.85,2241.56,2353429,527536306620000,115017,921247,0.3914,CONSUMER GOODS
2021-02-03,ICICIBANK,EQ,617.35,623.4,627.5,614,621.3,622.35,620.98,27155908,1686339991605000,297041,11691236,0.4305,FINANCIAL SERVICES
2021-02-03,INDUSINDBK,EQ,975.65,980,1080.8,972.2,1046.8,1048.55,1048.01,34995822,3667614224570000,623053,3874773,0.1107,FINANCIAL SERVICES
2021-02-03,INFY,EQ,1271.25,1277.65,1304,1273,1285,1284.65,1289.14,8182968,1054900346365000,204774,4333962,0.5296000000000001,IT
2021-02-03,BPCL,EQ,408,405,417,402.35,414.75,414.9,411.95,8509253,350537388945000,88136,3757484,0.4416,OIL & GAS
2021-02-03,BHARTIARTL,EQ,599.35,609.4,622.5,599.45,611.9,608.85,613.31,30076561,1844630355075000,302042,8330837,0.27699999999999997,TELECOM
2021-02-03,BAJFINANCE,EQ,5173.2,5218.6,5270,5140,5248.15,5245.1,5226.65,2650783,1385472729515000,139498,533119,0.2011,FINANCIAL SERVICES
2021-02-03,BAJAJFINSV,EQ,9476.3,9561.6,9639.3,9435.35,9555,9536.05,9512.18,623545,593127160390000,55559,51906,0.08320000000000001,FINANCIAL SERVICES
2021-02-03,SBIN,EQ,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168,2219088273705000,464739,13550924,0.204,FINANCIAL SERVICES
2021-02-03,SUNPHARMA,EQ,609.45,612.5,648.4,610.5,628.55,629.2,634.62,23788455,1509652715745000,322256,6022559,0.2532,PHARMA
